Text,target
"I love many BRM GF products, but this is not one of them.  GF baking is tricky stuff and if you have only tried rice/starch blend mixes, you'll probably love this because it does rise well, isn't gritty like rice mixes, doesn't get ""hard"" at room temp like rice, and is much spongier.<br /><br />Unfortunately, there is still more to want and like in GF bread. First, there is so much bean flour that it's noticeable in the taste.  Seems that some people like this (or don't notice) and others truly detest it.  We're in the detest category.<br /><br />Second, there is actually too much rise in this unless you put it in the oven after a very short rise.  I was making dinner and was about ten minutes late putting it in.  It rose higher than you would think possible, but then collapsed in the middle - not the top, but think of someone sucking in air in their mouth and making that hollowed cheek look.  That makes for a weird shape!!!!<br /><br />Usually, this oddly shaped bread only happens when you either add too much water or when you use a lot of bean flour.  This bread could be so much better with less bean and more sorghum, millet, Montina, amaranth, quinoa, buckwheat, or almond meal.  Probably, with a combination of the above, it would be fabulous.<br /><br />I knew there was this much bean flour when I bought it. I usually make my own and have some delicious recipes.  I try mixes for two reasons: to see if I'm missing anything and to support the companies that go out of their way to make GF products.<br /><br />I've answered my curiosity...I am not missing anything and will not be buying this again.  While too sweet, Pamela's is much better choice if you do not like the beany taste and the odd shape.",0.0
"GREAT DEAL, CONVENIENT TOO.  Much cheaper than WalMart and I don't need to lug it home, it appears on my doorstep.  Cats hack up fewer hair balls and instead of adding petroleum products (ie-vaseline) like most HAIRBALL formulas, which causes diarrhea and blocks vitamin absorption, this one has probiotics, which make the digestive tract work better, thus eliminating most of the hairball problem in a healthy way.  (Nothing can prevent 100% of hairball hacking, it's just something all cats do once in awhile.)  A great deal on a great product, plus free shipping when you order over a certain amount.---Coos Bay Sandra",1.0
I personally didn't like it at all. The tapioca pearls are all crumbled and are practically impossible to prepare. The drink tastes awful to me. The straws are fine... Wouldn't recommend.,0.0
"I had sampled these toffees at the local SAS store, which hands them out when you make a purchase and they were so soft and deliciousthat I had to have more.  I searched the internet and the manufacturer in England would not sell them to an individual, but I was happy to find out they were available at Amazon. The 5 pound order arrived and they were so hard you couldn't even bite into them - they were inedible.  Also, the product was not returnable, so I had to just throw them out.  A real waste of money!",0.0
"I have been craving candy and this is a super answer; they taste great and have super ingredients. Also try <a href=""http://www.amazon.com/gp/product/B001PICX42"">Annie's Homegrown Berry Patch Organic Bunny Fruit Snacks, 5-Count Pouches (Pack of 4)</a> I prefer the citrus.",1.0
"I would like to make this short and sweet. For the people that are experimenting and enjoying finding out what amazing things this product can do---- well done. For those of you giving it a negative review--- you're ignorant. I mean that in the nicest most literal way. As a professional Chef that has traveled the world working in many of the best restaurants in the WORLD I can tell you from first hand experience that this product is intended for things that I am guessing you just DO NOT understand. For example: Take a fish as thin as sole. You cannot actually 'sear' the fish to get nice caramelization on the flesh without overcooking it. This 'searing' is to acquire what is called the maillard reaction. The maillard reaction is the caramelization of the natural proteins, amino acids and sugars found in the meat or fish product. You do this to bring out the flavor--- it makes a HUGE difference. So, if you sear the thin filets it will overcook. Use the meat glue and you can 'glue' two filets together thus acquiring the nice brown color and NOT overcook the fish.... Easy peasy...... Get a clue and don't comment on things you don't understand. Ignorant as I mentioned before.",1.0
"My only previous experience with vanilla beans was purchasing McCormick brand, which included two small and rather anorexic-looking pods in a small jar for $8.19. When I received the beans from JR Mushrooms and Specialties, I found them to be extraordinarily large and plumpy.  They are moist and have the most delectable aroma.  Forget purchasing anywhere else; this purveyor is fast and provides super excellent quality Bourbon-Madagascar Vanilla Beans at reasonable prices. You'll be pleased!",1.0
"We wanted to try a small bottle before we invested in a large one...we will definitely be buying larger one, this stuff is great!",1.0
"What distinguishes this soda from the other diet soda's is that it does NOT elevate your blood sugars. Despite the fact that there are other Zero calorie soda's, they have Aspertame or Splenda which DOES raise your blood sugar levels - so this is really the best soda for those who have this concern.<br /><br />Also, unless you are truly living without sugar, this soda won't taste as good to you as others. It tastes MUCH better when you aren't ingesting either sugar or sugar substitutes.<br /><br />Best thing - EVERYTHING IN THIS IS ALL NATURAL!! Enjoy:)",0.0
Bought as a gift for friends who fortunately like to share. :-),1.0
"I bought this on a lark after seeing that it was an energy booster. They're not kidding. I'm a grad student and rarely get enough sleep (and really, how many of us do?), but after a smoothie with a spoonful of maca in the afternoon, I fell asleep effortlessly that night and then nearly exploded out of bed the next day (badly startling my poor bf, I'm afraid--he's always been a morning person, but I generally am a hard sleeper and require lots of loud noise, multiple alarm clocks and strong coffee in the morning to get going.) I've been charging out of bed every morning since. Yet there's no caffeine jitters, no crazy buzz; you can sit quietly or go work out or read or whatever you normally do.<br /><br />The taste--well, it's got a little bit of an unpleasant bite, and I find myself adding more fruit, agave nectar or stevia to my smoothies to compensate. Maca is also sold toasted (or maybe roasted?) and is supposed to be sweeter and much tastier that way, so if the taste is bothersome and you don't care if it's raw or not, that might be a good option.",1.0
"i'm not sure what the customary whole wheat to buckwheat ratio is, but this tastes superb, and cooks in 5 minutes on low boil, almost hate to boil the water. i keep it in my pantry always",1.0
"My family loves bakery on main products. Great on the go snacks, especially if you love coconut. Always exciting to find a great gluten free brand.",0.0
Taste great and gives me the extra daily fiber I need.  Cost a little less at Wal-Mart Super Center ($2.76),1.0
"As someone on a low sodium diet I have to make many types of food which most people buy, such as applesauce,bread, ricotta,and granola. I think these bars-and other Larabar flavors- taste 'chemical' to the point that they verge on artificial, despite being haled as all natural.  ""Natural"" does not equal tasty,and it often means nothing important. Besides tasting better,I wish the sodium levels were more readable - and lower.Sure fat,sugar and protein are all important,but more people die of cardiac disease and hypertension -linked to high sodium in the diet- than from lack of protein.",0.0
I don't mind spending money to buy expensive thing. So before I spend $160 per pound of coffee I like to identify it. So I google it. And I can't find any pictures or videos to proof and compare Kopi luwak bean to the regular coffee bean. They Looks alike. Sooooooooooo wake up people.........If I sell you guy a regualar coffee bean and charge you $160 per pound and tell you this is Kopi luwak coffee bean. And I can get away with it. You know why??? Because there are no way regualar people can tell you that is the real Kopi luwak coffee bean. Especially after they Roasted the coffee bean and it became brown color. That even make it more impossible to tell if it is the real Kopi luwak coffee bean.............. Am I right?,0.0
"This stuff is pretty good and I'm not even really a tea drinker. It has a great smell and is not too strong of a flavor. My wife absolutely loves it. I bought it in a store once and could never find it again so I was happy to find it on Amazon, and at a much lower price.",1.0
"These are the best pretzels I've had, gluten free or otherwise.  They do break easily, but the taste is great...now if only picking a gluten free bread were as easy.",1.0
"I love CALIFORNIA Dried Apricots, not Mediterranean.  Taste is entirely different.  We can't get California Dried Apricots here in Orlando for some reason.  Thrilled to have a place to order them from with reasonable price.  Also like the idea that saving a few carbon emissions if the apricots are really coming from California versus all the way from Mediterranean, but may just be different types of apricots grown here.<br />[...]<br />Great service from Amazon provider too.",1.0
Avoid this product. The price is spectacular but the coffee that results is quite bland. I was hopeful but in the end couldn't even use the pods. Keep looking.,0.0
"Kamut is ideal for cooking with sugar or salt for a healthy and hearty brunch. We season salt-kamut with a ground paste of coriander, cumin seeds and chilly powder. For sugar-kamut we add almond flakes.",0.0
The product was great and arrived earlier than expected. I would order this over and over again.<br />The drinks were just as fresh as when they were packaged.,0.0
"Not sure how I feel about the product, Murray Sugar Free Cookies. My disappointment is with Amazon for sending EXPIRED COOKIES. After notifying Amazon I received an apology email and a new delivery was sent to recipent. I was shocked to receive a second call from the recepient that the 2nd delivery was also EXPIRED having the same expiration date as the first delivery. Next thing I know I receive an email from Amazon my money is being refunded. Have no idea what happened. I was embarrassed and disappointed the first time. Imagine my embarrassment the second time. The recepient is a diabetic and loves Murray Sugar Free Cookies but she is only able to find Shortbread in our stores and Peanut Butter is her favorite.",0.0
Or when you want to feel like you are on a tropical vacation.  Easy to make and fun to drink.  Yum!,1.0
"Anyone interested in The Zone, these are 13g carbs, only 4g protein. Completely out of the zone... as most bars are. Of course you can't find that info here on Amazon, gotta go poke around the Kind website, and after a while, there it is. So, beware!",0.0
"MALTITOL. I had no idea what this meant when I poured it on my waffles about 1.5 hours before sitting an exam...... : | The syrup itself was surprisingly good though. It tastes just like regular maple syrup. I normally can't stand fake maple syrups, so, when I tried it, I really thought I'd lucked out. It's unfortunate that it contains this sugar alcohol though, as it apparently has a laxative effect on some people. So, if you're not sure if you're sensitive to it or not, make sure to only use a tiny bit at first and don't, excitedly thinking, 'So delicious! So few calories!,' dump it all over your breakfast like I did. D:",0.0
"They weren't awful but, as another reviewer said, I wouldn't buy them again. The heat was actually pretty good which I don't find a lot in things that are supposed to be hot. The flavor was lacking and it ended up tasting like a walmart brand jelly bean with capsaicin. For almost 10 bucks I expect a quality jelly bean with a flavorful pepper.",0.0
"Have purchased these tea bas before. I bought them in hope of having stronger . No real success, but will keep trying.<br />Received package in timely manner.",1.0
I was excited to try this product. But the strawberries were very sour compaired to the rest of the fruit. Dissapointed.,0.0
"I had stopped by Starbucks one time on the road and got a hot tea, I got Earl Grey.  It was so good I had to have it at home as my regular tea.  They used to sell it at the grocery stores, but now this is the only place I can find it!<br />ORDER this and you will have a great supply of great tea!  Each bag is individually wrapped so they stay fresh even after you open the box.  And the packets are easy to take with you when you are on the go!",1.0
"Only complaint is that a meaningful number of the butterfinger's were broken in half inside the packaging, but otherwise everything was fine.",0.0
My cats like these better than Pounce treats.  All cats we've had love them.,1.0
My dogs love these treats. My Vet also recommended this product. It keeps their teeth clean and breath clean. They love them!,1.0
"this company uses boxes that leads you to believe you are getting a pound of pasta like other companies but you only get 13 some ounces. I noticed when opening up their boxes how little pasta is inside. I bought a whole bunch of this stuff, different styles that were all in standard size packaging that most companies provide a lb of pasta to realize they mislead you into thinking you are getting a lb.<br />The stuff is not cheap to begin with. I truly wonder with a company that is misleading if their claims of 5 digestable grams of carbs is true. They can say whatever they want as this stuff is not FDA regulated.",0.0
We bought this tea for our office. Everyone seems to love it. I tried a few flavors and they are delicious. Will make both the black and the green varieties available at the office in the future.,1.0
"I'm very happy with these bars and Amazon's great price & quick shipping!!!!  I wanted a good, healthy, high protein, low glycemic, etc. meal replacement/ snack bar to eat on the go that I can keep on hand to help me reduce my caloric/ fat intake and stop me from eating unhealthy, fatty foods so I can shed a few pounds.  I went to Whole Foods and asked the employee working in the health bar area and she told me that this brand was a favorite for high protein, no sugar, and pretty good tasting.  She also told me that Chunky Peanut Butter and White Chocolate Chip were the favorite flavors.  I bought them both and liked them and saw that Amazon has them cheaper so I bought a box of each.  I was concerned when I read the reviews on here and someone said the bars were stale/ old/ not fresh, so I was prepared to send them back if need be. I checked the expiration date and they expire in a little more than a year.  I checked the wrapper of my bar from Whole foods and it expires 11 months from now.  Amazon's is fresher, go figure!!  Also, my boxes and bars in pristine condition (no melting or chemical smells or taste, as some reviewer said)  With subscribe & save I'm saving like 60%...LOVE IT!!",0.0
"This is a great product. I wish I could tell everyone about it. It taste really good, and I have never been disapointed with the product nor the shipping.",1.0
"This is a really fun idea! It is a fun treat to give them, and my dogs REALLY like it. The reason why I am giving it a low rating, is because it stinks, really bad! The smell is so offensive that my boyfriend won't let me feed this treat to my dogs while he's around. If my dogs didn't love the taste, and if it wasn't so much fun to feed to them, it would be in the garbage. I won't be buying it again, and don't recommend it. However, if you ever find it on sale or find a free sample or something, it is kind of a fun thing to try ONCE. Another issue is the fact that it comes in bacon and beef flavors, which can (and did) stain their mouths and cause dark tear stains.",0.0
"I generally like Gloria Jean's flavored coffee, but I'm not too thrilled with their Butter Toffee - it tastes too syrupy and sweet for me.",0.0
"I received this tea as a gift....omg...I love it, it is absolutely the best tea I have ever had.  I can't get it locally so i try to order enough for 6 months.  I do have a couple other teas I like that I can get locally so I can make it last.  Wish I could get it locally, but Amazon makes it really easy!  The cinnamon is not too strong, and the plum is delish....if you like flavored tea, you will like this!  Have a cuppa!",1.0
"I picked this up (on sale at local store) for a trial, quick breakfast or snack. Usually I'll read the ingredients first. But i was in a rush. Besides, box says, ""whole grain, good source of fiber, Oats & honey...""<br />But the taste? Awful (I know taste is subjective. Very sweet, but... not ""honey"" or even ""natural"" tasting. ugh.). So what else is listed in ingredients? all the grains, sugar (3rd after whole grain wheat & rice), salt (140mg/serving or 6% of RDA), ""natural & artificial flavor"", ""malt flavoring"", BHT (preservative), and a slew of added vitamins. I gave it ""two stars"" vs. ""one"" because it has some fiber ( 3GM or 10% RDA per serving) and the vitamins. Now I have find out which of the friendly animals or birds will eat this stuff- maybe the deer? hope it doesn't hurt them.",0.0
"Both my wife and I like peanut butter! But like in most things we have a different opinion. I love the extra crunchy style while she likes the creamy style. They both have that great Jif® taste and they are a good source of protein and fiber. Jif® is the top brand out there and the make a very tasty product.<br /><br />We like it on toast or crackers for a snack or for breakfast. We still even like PB&J sandwiches for a fast meal. If you like peanut butter, you'll love Jif®.",1.0
"We breastfeed our month old boy, but since his bilirubin level was still high, doctors recommended to switch to formula for 48 hours. We started with Similac Advance (Shield Plus) which we still had from hospital. First 24 hours were wonderful in terms of pooping, then we decided to switch to Similac Organic for known reasons, but during the first 32-Ounce Bottle I began to notice that his stool was getting harder, and eventually he stopped pooing (actually he produced two stone-ball like poops) and had a hard time for another 24 hours. Breast milk and Similac advance tested similarly sweet, but Similac Organic was much much less sweet. I made a research on the internet and I found the following that may help you to understand the cause of constipation: (http://www.drhull.com/EncyMaster/C/constipation_infant.html)<br /><br />Constipation means infrequent, hard stools. It does not mean grunting or straining, although your baby may certainly exhibit these behaviors when having a bowel movement. So the first question to ask is, ""Is my child really constipated?""<br /><br />Next, consider why true constipation - excessively hard, dry stools - arises. The normal function of the colon is to remove water from the stool. Otherwise we would rapidly dehydrate and die. That is why severe diarrhea is dangerous - the stool is moving through the colon and being expelled from the body so fast, there is no time to properly reabsorb the stool water back into the bloodstream.<br /><br />Conversely, if the fecal material remains in the colon too long, the water removal process may extract too much of the fecal water and leave the stool mass excessively dry and hard. It is just that simple.<br /><br />So constipation arises when feces remain in the colon too long because:<br /><br />  * the colon is naturally sluggish (has decreased ""motility,"" we say)<br />  * a low residue diet produces insufficient stimulation to the colon to trigger its normal propulsive activity and clear out the feces<br />  * a combination of the above two factors<br />  * there is obstruction of the lower GI tract<br />  o functional neurologic - the lower rectum and anus cannot properly relax to allow evacuation - Hirschprung disease<br />  o functional anatomic - anal-rectal positioning doesn't allow easy evacuation<br />  o mechanical - a tumor physically blocks stool passage<br /><br />Breast fed babies are essentially never truly constipated. This is because breast milk is such a low residue diet. Almost all of the milk is absorbed by the baby and used. The stools consist of a small amount of unabsorbed protein curds and a large amount of bowel secretions, chiefly mucus. And of course a lot of noisy gas. But these infrequent stools do not indicate constipation - just infrequent stools.<br /><br />Later, when breast feeding infants start solids, they technically can become constipated, but it is unusual in my experience. It is not until the child is pretty much on solids and especially when weaned to whole cow milk that constipation is much of an issue. By then we are really discussing toddlers.<br /><br />Breast fed infants do tend to save up after the first few months and poop less often. This worries some parents. Despite reassurances to the contrary, some folks just have to see a poop every day from their little darling to be happy and fulfilled. Go figure. They forget that stool can stay in the colon for a very, very long time and it will not hurt anything.<br /><br />When the stool hoarding breast feeder does finally get ready to go, another problem comes to the fore: grunting and straining. When the baby's rectum forms in utero, it is in a state of permanent contraction for nigh onto nine months. The baby does not pass the meconium (fetal stool) in utero until perhaps right at the end of gestation right before, during or after delivery. Until the baby is several months old, and has passed and been stretched by quite a few bowel movements, the rectum and particularly the anus may be quite tight and resist easy dilation to allow the stool to pass. Because the baby has weak, flabby abdominal musculature (that is why his little tummy is so poochy), he must push against this tight anal spincter with his diaphragm. Just as Mom pushed during delivery, and with seemingly equal discomfort. Hence the grunting and red-faced straining.<br /><br />  The other major problem of both breast or bottle fed newborns which creates this sort of straining is dyschezia, or uncoordinated stooling.<br /><br />The cure for the problem of a tight anus is pretty simple: a gentle rectal exam with a well-lubricated pinky finger by the doctor (which should be done on all babies with stooling troubles anyway to rule out a physical obstruction) will be both diagnostic and curative. If one such gentle dilation doesn't do the trick, I have Mom bring the baby back in a week and repeat the procedure. The anal spincter is stretched, and pretty soon, no more terrible straining.<br />Top<br /><br />Bottle fed infants are ""a whole 'nother story."" Infant formulas are not nearly as well digested as breast milk, and leave quite a bit more residue in the colon. (The exception to this rule in my mind is the new Similac® that really does seem to leave the stools about the same consistency as breast milk.) So true constipation in bottle fed infants is much more common; my feeling is that soy formulas are even worse than cow milk based formulas in this regard.<br /><br />The young infant's colon is simply not designed for all the residue and stool bulk. The residue builds up, is dried too much, and becomes hard, pebbly stool. It is naturally difficult and uncomfortable for the baby to pass.<br /><br />The addition of cereal to the diet only compounds whatever problems already exist. Cereal + milk = concrete. Cereal in the formula bottle seems to be especially bad, probably because parents don't realise just how much cereal the baby is getting.<br />Top<br /><br />Treatment of constipation mainly involves common sense diet modifications and sometimes medication:<br /><br />  * Again, as with breast fed babies, a search for the cause of the constipation and gentle rectal exam can work wonders.<br />  * I use a lot of Karo® corn syrup for bottle feeders with constipation. It is my first choice recomendation; it almost always works if used properly. Unfortunately, many doctors and nurses don't use it properly, get poor results, and don't recommend it as often as they should. I start with two measuring teaspoons in every formula bottle, regardless of size, and adjust the dose up or down depending on how things are going. Usually, the baby can be weaned off the Karo pretty soon, but may need to stay on it periodically for the first few months of life. It is very important to put the corn syrup in the formula and not give it in between in water. The excess corn syrup does not get digested very well - the baby is already digesting all the sugar he can from the formula. The excess sugar passes down to the colon and produces a sugar diarrhea similar to sorbitol (as below, prunes, apple juice).<br /><br />  Before scolding me about ""the risk of botulism"" from corn syrup, please see:<br /><br />  Clinical Pediatric Emergency Medicine, Volume 4,Number 3,September 2003: ""Pediatric neurologic potpourri: cases to remember""<br /><br />  ""In the past, C. botulinum was also found in corn syrup, but this is no longer a risk factor for infant botulism because of a recent change in the processing formula.""<br /><br />  For the complete source of statement, see: Olsen SJ, Swerdlow DL. Risk of infant botulism from corn syrup. In reply. Pediatr Infect Dis J 2000;19:584-5.<br /><br />  * Certain fruits and juices - for example prunes, apple juice, apricots - are rich in sorbitol, a nondigestible sugar that passes through the body to the colon and causes water to be retained or drawn into the stool mass. They can be increased in the diet to loosen the stool and relieve or prevent constipation.<br />  * Lactulose is a non-absorbable sugar product that is processed by colon bacteria to produce an inflow of water into the stool mass. We use it a lot - it seems to be a favorite of our local pediatric gastroenterologists. The dose is adjusted up or down according to respose. Side effects are usually not serious but can include cramping or diarrhea - obviously, stop the medicine and call your doctor if these occur.<br />  * Glycerine suppositories are helpful to relieve your child if there is some hard stool that just won't come out easily. The suppository melts in the heat of the rectum and lubricates the stool. Glycerine also has a mild effect of attracting water into the stool, which softens it. The act of insertion also serves to stimulate the rectum and anus to initiate the defecation reflex. (Glycerine is completely safe - it is a food, found in candy, not a drug.)<br />  * Fiber containing foods are helpful for older children and adults, but are not really of much use in the treatment of young infant constipation, for dietary reasons: babies just don't eat a lot of fiber. (I believe ISoyalac®, which was a high fiber soy formula, has been discontinued. It was never very available any place I practiced, anyway.)<br /><br />Top<br /><br />Myths and misconceptions concerning infant constipation:<br /><br />  * Iron in the formula causes constipation. No way. I can understand lay people thinking this to be the case because when adults take iron preparations (in large doses) they may become constipated. But the tiny amount present in infant formula is not nearly enough to cause any problems.<br /><br />  The irritating thing to me is to hear doctors and nurses who should know better repeating this nonsense and switching the infants to the less healthy low- or no-iron formulas.<br /><br />  * Increasing water in the diet is commonly recommended; it makes very little sense and demonstrates a failure to reflect on the basic physiologic cause of the overdry stool. The problem is too little water retention in the stool, not too little water in the body! Unless there is increased fiber or some chemical substance such as a sugar (Karo®, lactulose) to retain the water in the stool, excess water will simply wind up in the diaper as urine.<br /><br />Top",0.0
"I love this stuff. It tastes just like normal ice cream, which is weird at first because of the different texture from the freeze-drying, but it tastes great! It melts in your mouth when you eat it. I recommend trying it; it's awesome!",1.0
"I've used different Mio flavors in the past to flavor water. After using this product I find I prefer them to this projduct.<br /><br />For one thing, the bottle is difficult to open. I finally had to get a knife to cut open the seal. Of course, the drink sprayed all over the place.<br /><br />It states that you need one squeeze for 8 ounces of water. The instructions for 'one squeeze' aren't very scientific, and it's a matter of trial and error to get the water flavored to your taste. The first time I tried it there was not enough flavor, so I had to squeeze it twice. It'd be nice if tiny drops came out instead of a stream.<br /><br />I'm usually a big fan of fruit punch flavors, but this one was kind of odd. Not terrible but not as flavorful as the Mio flavors I've tried in the past.<br /><br />The one advantage this product has over Mio is that it includes vitamins, though I doubt there's enough to make a real difference.<br /><br />All in all, this product is just okay.",0.0
"These are ok,  it's more of a sweet with spicy flavor.  I can taste the jalapeno and a sweet/sugar flavor, but I don't taste any cheese flavor.  It's closer to a barbecue flavor.  These chips are ok tasting, but nothing special.",0.0
"My dog Annabelle eats this food with relish. I like given it to her because of all the good ingredients it contains and all the vitamins and minerals to meet a dog's needs. What more could I ask for? (I only feed dry dog food because I want my dog to have clean teeth and gums. The wet food sticks gummy-like between the teeth which, of course, can cause tooth decay and gum disease.)",1.0
"As you have probably read, these treats are not like most others.  You cannot overindulge your pup with them because of their richness.  They are very light, but need to be given SPARINGLY.  I use tiny pieces of these as special treats for my ""Charly,"" who adores them. Want to know a trick?  For those of you trying to get your dogs to eat more dry than wet food, take a few of the liver treats and literally crush the suckers into a powder.  It takes a while to do it in your hands, but you can always use anything in the kitchen to help.  Anyhoo....sprinkle just the bit over the dry dog food and VOILA!  I bet your dog will eat up the bowl.  Again, most dogs ADORE these Stewart's liver treats, so the smallest amount sprinkled will do the trick.<br /><br />My friend is a dog/cat rescuer and turned me onto Stewart's - not only because they are really good, but also because they are made in the U.S.A.  That means a lot when it comes to our pet products.<br /><br />My treats came very fast, too!!!  It's much more economical to get the larger tub and it will last a long, long time.  Or consider sharing wwith another dog lover!",1.0
My husband loves these candies and they are getting harder and harder to find.  I was terribly disappointed that this - as well as the scented gum that I ordered- was horribly stale.  They were just plain old.  I expected a lot more from Amazon and would be hesitant to order any perishable products through Amazon again in the future.,0.0
"I love this stuff. It takes a bit of practice to get it right, but I mix it with cream cheese and spread it on bagels in the morning. Yum! I don't know why it is so sticky though. You have to be careful with the lid because if you close it too tight you will have a time getting it open again. The stickiness just freezes that lid shut no matter how careful I am. I have found that running under warm water does the trick to open it again. I love my Marmite. The taste is about the same as the more expensive and famous Vegemite. Enjoy!",0.0
"Variety is the name of the game for me.  That is why I like the Keurig system so much--I don't have bags of coffee going stale.  This Green Mountain Flavor variety offers three of my favorites in one collection: French Vanilla, Hazelnut, and Rain Forest Nut--yummy.  For a real treat, in your travel mug try blending a couple flavors.<br /><br />GM is always an eye opener coffee for me-robust, but mellow.  The flavors don't take away from their coffee's like they do for some.<br /><br />The value of this particular deal was awesome too--all K-Cuppers are always looking for deals.  You don't get one box, you get TWO.<br /><br />Gosh, all this writing about the coffee has made want another cup!  Enjoy.",1.0
I received this product to review as part of the Amazon Vine Program.<br /><br />This bars are delicious without been too sweet which I really liked.<br /><br />The come individually wrap and are small.<br /><br />Anyone with allergies needs to avoid or check<br />the ingredients because this product it has nuts.<br /><br />This is not your typical extra sweet and heavy bar.<br /><br />In fact is a snack not a meal replacement in other words<br />you will not filled stuffed.<br /><br />I loved the dried fruits it has and the combination of nuts.<br /><br />Highly recommend it.,0.0
Included:<br />.5 oz. squeeze tube of peanut butter<br />6 Buttery crackers<br />1 oz. Cheddar bunnies snack crackers<br />.9 oz. Surf sweets organic gummy bears<br />3 oz. Unsweetened applesauce<br />folding spork<br /><br />Pros:<br />Peanut butter and crackers are OK. They taste the same as store-bought peanut butter and crackers (nothing special).<br />Organic gummy bears are OK.  They are made with organic fruit juice and have natural colors and flavors.<br />Applesauce is not too sweet and all-natural.<br />Cheddar bunnies snack crackers are all-natural and have no additives or preservatives.  They are very cheesy tasting in a natural way. They look so cute and fun! I wish it was a larger bag.<br /><br />Cons:<br />Not enough peanut butter to cover all 6 crackers.<br />Overpriced.<br />Average tasting products.<br /><br />Overall Experience:<br />Average flavor for a not-so-average price.<br />Not impressed with this flavor and not recommended.,0.0
